Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0],u_harness/w_rd_dbg_actual[63:0],u_harness/w_rd_dbg_expected[63:0],u_harness/w_rd_dbg_mismatch,u_harness/w_rd_dbg_valid
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
3263,3263,0,00002dc,02,2,2,3,907cf01056d63755,3,3,3,afe3b2d069497595,0,1,00754bcdc6df8c88,ef95c9d9293f0e9c,ef95c9d9293f0e9c,0,0
3264,3264,0,00002e0,02,2,2,3,1d297e9bdb83b9de,3,3,3,afe3b2d069497595,0,1,8d20c5464b8a0203,ef95c9d9293f0e9c,ef95c9d9293f0e9c,0,0
3265,3265,0,00002e4,02,2,2,3,8ad7ed074c7d2a42,3,3,3,afe3b2d069497595,0,1,907cf01056d63755,ef95c9d9293f0e9c,ef95c9d9293f0e9c,0,0
3266,3266,0,00002e8,02,2,2,3,0782638cc128a4c9,3,3,3,afe3b2d069497595,0,1,1d297e9bdb83b9de,ef95c9d9293f0e9c,ef95c9d9293f0e9c,0,0
3267,3267,0,00002ec,02,2,2,3,a52aca3e63800d7b,3,3,3,afe3b2d069497595,0,1,8ad7ed074c7d2a42,3acd2161fc67e624,3acd2161fc67e624,0,1
3268,3268,0,00002f0,02,2,2,3,287f44b5eed583f0,3,3,3,afe3b2d069497595,0,1,0782638cc128a4c9,b798afea713268af,b798afea713268af,0,1
3269,3269,0,00002f4,02,2,2,3,bf81d729792b106c,3,3,3,afe3b2d069497595,0,1,a52aca3e63800d7b,20663c76e6ccfb33,20663c76e6ccfb33,0,1
3270,3270,0,00002f8,02,2,2,3,32d459a2f47e9ee7,3,3,3,afe3b2d069497595,0,1,287f44b5eed583f0,ad33b2fd6b9975b8,ad33b2fd6b9975b8,0,1
3271,3271,0,00002fc,02,2,2,3,fad0844c3c7a4309,3,3,3,afe3b2d069497595,0,1,bf81d729792b106c,0f9b1b4fc931dc0a,0f9b1b4fc931dc0a,0,1
3272,3272,0,0000300,02,2,2,3,77850ac7b12fcd82,3,3,3,afe3b2d069497595,0,1,32d459a2f47e9ee7,82ce95c444645281,82ce95c444645281,0,1
3273,3273,0,0000304,02,2,2,3,e07b995b26d15e1e,3,3,3,afe3b2d069497595,0,1,fad0844c3c7a4309,15300658d39ac11d,15300658d39ac11d,0,1
3274,3274,0,0000308,02,2,2,3,6d2e17d0ab84d095,3,3,3,afe3b2d069497595,0,1,77850ac7b12fcd82,986588d35ecf4f96,986588d35ecf4f96,0,1
3275,3275,0,000030c,02,2,2,3,cf86be62092c7927,3,3,3,afe3b2d069497595,0,1,e07b995b26d15e1e,8539bd8543937ac0,8539bd8543937ac0,0,0
3276,3276,0,0000310,02,2,2,3,42d330e98479f7ac,3,3,3,afe3b2d069497595,0,1,6d2e17d0ab84d095,8539bd8543937ac0,8539bd8543937ac0,0,0
3277,3277,0,0000314,02,2,2,3,d52da37513876430,3,3,3,afe3b2d069497595,0,1,cf86be62092c7927,8539bd8543937ac0,8539bd8543937ac0,0,0
3278,3278,0,0000318,02,2,2,3,58782dfe9ed2eabb,3,3,3,afe3b2d069497595,0,1,42d330e98479f7ac,8539bd8543937ac0,8539bd8543937ac0,0,0
3279,3279,0,000031c,02,2,2,3,baf66b3a7c5cac7f,3,3,3,afe3b2d069497595,0,1,d52da37513876430,5061553d96cb9278,5061553d96cb9278,0,1
