Sample in Buffer,Sample in Window,TRIGGER,w_dfi_address[25:0],w_dfi_bank[5:0],w_dfi_cas_n[1:0],w_dfi_cs_n[1:0],w_dfi_ras_n[1:0],w_dfi_rddata[63:0],w_dfi_rddata_en[1:0],w_dfi_rddata_valid[1:0],w_dfi_we_n[1:0],w_dfi_wrdata[63:0],w_dfi_wrdata_en[1:0],w_idelay_rdy,u_harness/w_dfi_rddata_dly[63:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX,HEX
181,181,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
182,182,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
183,183,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
184,184,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
185,185,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
186,186,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
187,187,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
188,188,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
189,189,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
190,190,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
191,191,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
192,192,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
193,193,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
194,194,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
195,195,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
196,196,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
197,197,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
198,198,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
199,199,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
200,200,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
201,201,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
202,202,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
203,203,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
204,204,0,0000000,00,3,3,3,0000000000000000,0,0,3,f90858fef90858fe,0,1,0000000000000000
